,male,female
0 to 4 years,66357,63023
5 to 9 years,66796,62968
10 to 12 years,30936,30286
13 to 14 years,30935,30287
15 to 17 years,35574,35698
18 to 19 years,24184,23168
20 to 21 years,24654,25233
22 to 24 years,43519,40280
25 to 29 years,107750,98711
30 to 34 years,106143,97499
35 to 39 years,95095,82364
40 to 44 years,77301,80241
45 to 49 years,77896,75411
50 to 54 years,71155,69076
55 to 59 years,71516,68337
60 and 64 years,60389,65490
65 and 69 years,48708,52606
70 to 74 years,34003,42110
75+,48234,69230
